gender,SeniorCitizen,Partner,Dependents,Antiguedad,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
Female,0,No,Yes,24,No,No phone service,DSL,Yes,No,No,No,Yes,No,One year,No,Mailed check,31.55,3697.834
Female,0,Yes,Yes,66,No,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),37.13,360.105
Female,0,Yes,No,58,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),60.91,980.752
Female,0,Yes,No,64,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),74.2,5830.006
Male,0,Yes,No,69,No,No,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),51.02,4617.276
Male,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,66.17,549.727
Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),84.67,978.298
Female,0,Yes,No,67,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,107.65,7575.366
Female,0,Yes,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),21.89,458.625
Female,0,Yes,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.33,740.535
Male,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.54,579.591
Female,0,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.52,880.993
Female,0,No,No,44,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,31.91,82.916
Male,0,Yes,Yes,52,Yes,No phone service,DSL,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),77.28,3869.587
Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,33.73,163.566
Male,0,Yes,No,44,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),99.25,7714.818
Female,1,No,No,41,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),106.3,746.808
Female,0,Yes,No,56,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),87.12,8222.35
Male,0,No,No,0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.08,649.218
Male,0,Yes,Yes,25,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),80.1,3944.041
Male,0,Yes,No,25,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),70.64,6433.948
Male,0,No,No,45,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),72.03,5488.417
Female,1,No,No,10,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.99,3714.709
Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),81.58,6484.89
Female,0,No,No,33,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,33.31,601.626
Female,1,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),118.53,6434.782
Female,0,Yes,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,58.41,3193.963
Female,0,Yes,No,71,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),105.98,6491.296
Female,0,No,No,9,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),75.5,3275.361
Female,0,No,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.42,435.035
Male,0,No,No,10,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),50.61,683.957
Male,0,No,No,9,Yes,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),55.64,411.519
Female,0,No,No,20,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),38.98,3265.883
Female,1,No,No,41,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Electronic check,79.53,5777.84
Female,0,No,No,13,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),67.4,3383.41
Female,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.64,21.431
Female,0,Yes,No,56,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),59.18,5595.975
Male,1,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,101.74,6898.333
Female,0,Yes,No,8,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),76.57,163.878
Female,1,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.13,311.391
Male,0,Yes,Yes,57,No,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),78.06,943.879
Male,0,No,No,17,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),100.21,4419.17
Male,0,Yes,No,48,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),108.64,3323.856
Female,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),22.22,1069.843
Female,0,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,70.54,1089.083
Female,1,No,No,29,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,39.46,2021.232
Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),21.27,488.179
Male,0,No,Yes,66,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.0,4035.802
Male,0,Yes,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.96,1242.799
Female,0,No,No,7,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.3,680.239
Male,0,Yes,Yes,33,Yes,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,53.64,519.641
Female,0,Yes,Yes,68,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),107.6,1298.526
Female,0,No,No,2,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,34.47,18.8
Male,1,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),22.52,752.858
Female,0,Yes,No,6,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,33.23,362.136
Female,1,No,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),104.2,3237.926
Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),87.43,662.708
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,106.99,716.833
Female,0,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,48.84,246.894
Male,1,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,78.36,886.505
Male,0,Yes,Yes,12,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),53.41,2498.38
Female,0,No,No,12,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,41.54,1360.863
Female,1,Yes,No,8,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.91,1563.182
Female,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,107.66,6267.751
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.91,1285.817
Female,1,Yes,No,32,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),114.64,1917.022
Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,87.07,508.822
Male,1,No,No,49,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,70.21,566.894
Female,0,No,No,1,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,28.29,105.641
Female,0,Yes,No,56,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),99.46,4212.124
Female,1,Yes,No,35,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),62.05,567.627
Male,0,Yes,No,7,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),30.76,341.776
Female,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.99,245.234
Female,1,No,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.74,738.544
Female,0,Yes,Yes,38,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,101.23,1183.461
Female,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,112.91,5948.04
Female,0,No,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),21.26,947.53
Male,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,102.62,2557.584
Female,0,Yes,Yes,65,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),80.89,1327.4
Female,0,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),23.09,62.204
Female,0,No,Yes,34,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),60.93,772.885
Female,0,Yes,Yes,69,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),68.96,2556.892
Male,0,No,No,31,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),71.33,120.03
Male,1,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.46,629.729
Female,0,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),22.46,3006.696
Female,0,No,No,16,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),67.93,2122.201
Female,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.9,794.205
Female,0,Yes,Yes,69,Yes,No phone service,DSL,Yes,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),65.39,4924.176
Female,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.33,202.859
Female,0,No,No,9,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,33.26,18.8
Female,0,No,No,41,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,93.35,6041.449
Female,0,Yes,Yes,20,Yes,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,65.14,2078.06
Female,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.25,594.449
Female,0,No,No,14,Yes,Yes,No,No,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.92,3860.937
Male,0,No,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.15,1401.59
Female,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.37,524.877
Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.83,312.909
Female,1,No,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,81.59,3666.423
Female,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.52,154.691
Female,0,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.29,902.72
Female,0,Yes,Yes,69,No,No phone service,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),52.07,1661.189
Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.96,682.038
Female,0,Yes,Yes,52,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),86.82,3172.142
Female,0,Yes,No,39,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,100.84,3522.908
Male,1,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,101.87,981.198
Male,0,No,No,2,Yes,No,No,No internet service,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Mailed check,24.66,267.0
Female,0,No,No,7,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,75.99,822.434
Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),79.51,4511.915
Female,1,Yes,No,39,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,104.31,1395.73
Female,0,Yes,No,29,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),102.82,4630.108
Male,0,No,No,8,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,50.92,564.027
Female,0,Yes,No,67,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,84.58,5234.953
Male,0,Yes,No,69,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),110.05,5443.925
Female,0,No,No,18,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),40.32,701.781
Female,0,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20.25,174.476
Female,1,No,No,10,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),63.47,778.931
Female,0,Yes,Yes,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.27,706.919
Male,0,No,No,13,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,53.97,1674.727
Male,0,No,Yes,37,No,No phone service,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),76.84,4233.539
Male,0,No,No,67,No,Yes,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),82.84,3260.528
Female,0,No,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),56.76,852.09
Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),100.43,8053.687
Male,0,No,No,5,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),60.48,454.077
Female,0,Yes,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.26,428.554
Female,0,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.1,3335.006
Female,1,No,Yes,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.37,745.92
Female,0,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.68,494.063
Female,0,Yes,No,57,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),107.55,1150.493
Female,0,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.88,544.923
Male,1,No,No,2,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.33,84.398
Male,1,No,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,66.99,927.462
Female,0,No,No,27,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),90.92,2899.395
Male,0,Yes,Yes,70,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),55.15,4226.581
Male,1,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,54.6,88.112
Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,103.12,807.502
Female,0,Yes,Yes,72,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),79.05,6820.974
Female,0,Yes,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.13,1332.594
Male,0,Yes,Yes,67,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),99.77,6688.139
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,Yes,No,One year,Yes,Bank transfer (automatic),93.69,5556.918
Male,0,No,No,67,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),101.54,3154.357
Female,1,Yes,No,7,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),35.59,211.562
Male,0,Yes,No,8,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),83.7,4360.99
Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21.18,652.06
Male,0,Yes,Yes,67,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.89,7046.06
Female,1,Yes,No,30,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),82.72,631.948
Male,0,No,No,46,No,No phone service,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),43.7,3145.111
Female,0,No,No,36,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),78.15,2586.163
Female,1,No,Yes,22,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),81.85,647.303
Female,0,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),97.0,2514.478
Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),98.52,1657.605
Female,0,Yes,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.28,343.546
Female,1,No,No,50,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),85.17,2181.856
Female,0,No,No,35,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,91.2,3045.712
Female,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),79.87,562.325
Female,1,Yes,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,43.02,549.019
Female,0,Yes,No,62,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),65.4,6651.895
Male,0,Yes,Yes,54,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),70.02,4521.004
Female,0,Yes,Yes,10,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,38.05,18.8
Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,104.59,353.557
Female,0,No,No,65,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,109.41,3229.342
Female,0,Yes,Yes,12,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,70.64,2355.03
Male,0,No,No,68,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),113.46,780.153
Male,0,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),23.02,3817.556
Female,0,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),73.49,5159.617
Female,1,No,No,8,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),81.33,735.148
Female,0,Yes,Yes,23,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,28.65,797.743
Male,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.03,68.113
Female,0,Yes,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.51,244.953
Female,1,Yes,No,38,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,87.46,736.421
Male,0,Yes,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.73,896.881
Male,0,Yes,Yes,8,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),91.61,3135.884
Female,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.57,931.0
Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),109.26,8107.834
Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.19,44.28
Female,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,41.79,905.807
Female,0,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),112.58,7603.604
Female,0,Yes,Yes,70,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),35.33,5174.151
Female,0,Yes,No,67,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.96,4000.13
Male,1,No,No,7,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),39.64,2605.735
Male,1,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,101.02,1615.226
Female,1,Yes,No,17,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,75.23,722.156
Female,1,No,No,2,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.6,644.12
Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,103.2,5212.793
Male,0,Yes,No,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),74.52,803.474
Female,0,Yes,No,69,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,105.54,7654.08
Male,0,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.51,766.473
Female,0,No,No,39,Yes,Yes,No,No internet service,No internet service,No,No,No,Yes,Month-to-month,No,Credit card (automatic),59.08,1508.169
Male,1,Yes,No,68,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),101.87,7236.786
Male,0,No,No,22,No,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,59.93,4748.55
Male,0,No,No,0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,39.74,18.8
Female,0,No,No,18,Yes,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),82.46,743.584
Male,0,No,Yes,69,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),85.28,4999.546
Female,1,No,No,1,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,102.21,4666.624
Male,0,Yes,No,35,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),92.9,1332.866
Female,1,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),48.69,85.591
Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,110.35,984.754
Female,0,Yes,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,37.29,74.993
Male,1,Yes,Yes,11,No,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,52.38,1095.563
Female,0,No,No,7,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,31.94,48.569
Female,1,Yes,No,30,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),106.53,7247.777
Female,0,No,No,15,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,94.54,1562.192
